40800_G.pthheat: 0.0000, Adjust_PSNR: 26.4047, Adjust_LPIPS: 0.1242, Adjust_SSIM: 0.8466, PSNR: 23.2074, LPIPS: 0.1283, SSIM: 0.8325
40900_G.pthheat: 0.0000, Adjust_PSNR: 26.5323, Adjust_LPIPS: 0.1249, Adjust_SSIM: 0.8497, PSNR: 23.1231, LPIPS: 0.1306, SSIM: 0.8352
41000_G.pthheat: 0.0000, Adjust_PSNR: 26.4312, Adjust_LPIPS: 0.1248, Adjust_SSIM: 0.8519, PSNR: 22.6062, LPIPS: 0.1319, SSIM: 0.8355
41100_G.pthheat: 0.0000, Adjust_PSNR: 26.3165, Adjust_LPIPS: 0.1250, Adjust_SSIM: 0.8493, PSNR: 23.1413, LPIPS: 0.1300, SSIM: 0.8345
41200_G.pthheat: 0.0000, Adjust_PSNR: 26.2756, Adjust_LPIPS: 0.1227, Adjust_SSIM: 0.8460, PSNR: 22.7588, LPIPS: 0.1269, SSIM: 0.8310
41300_G.pthheat: 0.0000, Adjust_PSNR: 26.1467, Adjust_LPIPS: 0.1337, Adjust_SSIM: 0.8440, PSNR: 22.9968, LPIPS: 0.1357, SSIM: 0.8313
41400_G.pthheat: 0.0000, Adjust_PSNR: 26.3319, Adjust_LPIPS: 0.1258, Adjust_SSIM: 0.8481, PSNR: 22.6450, LPIPS: 0.1301, SSIM: 0.8330
41500_G.pthheat: 0.0000, Adjust_PSNR: 26.3205, Adjust_LPIPS: 0.1255, Adjust_SSIM: 0.8467, PSNR: 22.5379, LPIPS: 0.1310, SSIM: 0.8315
41600_G.pthheat: 0.0000, Adjust_PSNR: 26.2511, Adjust_LPIPS: 0.1220, Adjust_SSIM: 0.8501, PSNR: 22.7103, LPIPS: 0.1284, SSIM: 0.8327
41700_G.pthheat: 0.0000, Adjust_PSNR: 26.3654, Adjust_LPIPS: 0.1224, Adjust_SSIM: 0.8508, PSNR: 22.4376, LPIPS: 0.1297, SSIM: 0.8326
41800_G.pthheat: 0.0000, Adjust_PSNR: 26.3480, Adjust_LPIPS: 0.1249, Adjust_SSIM: 0.8499, PSNR: 22.8866, LPIPS: 0.1288, SSIM: 0.8362
41900_G.pthheat: 0.0000, Adjust_PSNR: 26.0656, Adjust_LPIPS: 0.1309, Adjust_SSIM: 0.8425, PSNR: 22.8098, LPIPS: 0.1335, SSIM: 0.8287
42000_G.pthheat: 0.0000, Adjust_PSNR: 26.3882, Adjust_LPIPS: 0.1292, Adjust_SSIM: 0.8468, PSNR: 23.3736, LPIPS: 0.1326, SSIM: 0.8328
42100_G.pthheat: 0.0000, Adjust_PSNR: 26.5824, Adjust_LPIPS: 0.1275, Adjust_SSIM: 0.8523, PSNR: 23.2755, LPIPS: 0.1319, SSIM: 0.8383
42200_G.pthheat: 0.0000, Adjust_PSNR: 26.5250, Adjust_LPIPS: 0.1225, Adjust_SSIM: 0.8494, PSNR: 23.3733, LPIPS: 0.1268, SSIM: 0.8353
42300_G.pthheat: 0.0000, Adjust_PSNR: 26.4005, Adjust_LPIPS: 0.1250, Adjust_SSIM: 0.8496, PSNR: 22.9459, LPIPS: 0.1292, SSIM: 0.8339
42400_G.pthheat: 0.0000, Adjust_PSNR: 26.3451, Adjust_LPIPS: 0.1280, Adjust_SSIM: 0.8496, PSNR: 22.9764, LPIPS: 0.1334, SSIM: 0.8335
42500_G.pthheat: 0.0000, Adjust_PSNR: 26.3435, Adjust_LPIPS: 0.1248, Adjust_SSIM: 0.8507, PSNR: 22.7136, LPIPS: 0.1304, SSIM: 0.8337
42600_G.pthheat: 0.0000, Adjust_PSNR: 25.7165, Adjust_LPIPS: 0.1343, Adjust_SSIM: 0.8401, PSNR: 21.7849, LPIPS: 0.1361, SSIM: 0.8248
42700_G.pthheat: 0.0000, Adjust_PSNR: 26.4433, Adjust_LPIPS: 0.1223, Adjust_SSIM: 0.8487, PSNR: 23.1333, LPIPS: 0.1278, SSIM: 0.8326
42800_G.pthheat: 0.0000, Adjust_PSNR: 26.1662, Adjust_LPIPS: 0.1338, Adjust_SSIM: 0.8447, PSNR: 22.8071, LPIPS: 0.1373, SSIM: 0.8298
42900_G.pthheat: 0.0000, Adjust_PSNR: 26.3053, Adjust_LPIPS: 0.1260, Adjust_SSIM: 0.8494, PSNR: 22.5935, LPIPS: 0.1306, SSIM: 0.8336
43000_G.pthheat: 0.0000, Adjust_PSNR: 26.4348, Adjust_LPIPS: 0.1244, Adjust_SSIM: 0.8496, PSNR: 22.5765, LPIPS: 0.1295, SSIM: 0.8353
43100_G.pthheat: 0.0000, Adjust_PSNR: 26.2247, Adjust_LPIPS: 0.1311, Adjust_SSIM: 0.8459, PSNR: 23.3094, LPIPS: 0.1331, SSIM: 0.8339
43200_G.pthheat: 0.0000, Adjust_PSNR: 26.2035, Adjust_LPIPS: 0.1317, Adjust_SSIM: 0.8475, PSNR: 23.1941, LPIPS: 0.1341, SSIM: 0.8354
43300_G.pthheat: 0.0000, Adjust_PSNR: 26.0532, Adjust_LPIPS: 0.1412, Adjust_SSIM: 0.8406, PSNR: 22.7999, LPIPS: 0.1428, SSIM: 0.8283
43400_G.pthheat: 0.0000, Adjust_PSNR: 26.3249, Adjust_LPIPS: 0.1316, Adjust_SSIM: 0.8460, PSNR: 23.4663, LPIPS: 0.1357, SSIM: 0.8321
43500_G.pthheat: 0.0000, Adjust_PSNR: 26.4049, Adjust_LPIPS: 0.1273, Adjust_SSIM: 0.8511, PSNR: 23.2518, LPIPS: 0.1307, SSIM: 0.8389
43600_G.pthheat: 0.0000, Adjust_PSNR: 26.4641, Adjust_LPIPS: 0.1246, Adjust_SSIM: 0.8515, PSNR: 23.3317, LPIPS: 0.1284, SSIM: 0.8391
43700_G.pthheat: 0.0000, Adjust_PSNR: 26.2520, Adjust_LPIPS: 0.1266, Adjust_SSIM: 0.8507, PSNR: 22.8045, LPIPS: 0.1328, SSIM: 0.8347
43800_G.pthheat: 0.0000, Adjust_PSNR: 26.3666, Adjust_LPIPS: 0.1296, Adjust_SSIM: 0.8478, PSNR: 22.8927, LPIPS: 0.1342, SSIM: 0.8335
43900_G.pthheat: 0.0000, Adjust_PSNR: 26.2774, Adjust_LPIPS: 0.1297, Adjust_SSIM: 0.8451, PSNR: 23.0593, LPIPS: 0.1341, SSIM: 0.8310
44000_G.pthheat: 0.0000, Adjust_PSNR: 26.2716, Adjust_LPIPS: 0.1323, Adjust_SSIM: 0.8457, PSNR: 22.6226, LPIPS: 0.1362, SSIM: 0.8306
44100_G.pthheat: 0.0000, Adjust_PSNR: 26.4353, Adjust_LPIPS: 0.1245, Adjust_SSIM: 0.8497, PSNR: 22.9599, LPIPS: 0.1305, SSIM: 0.8338
44200_G.pthheat: 0.0000, Adjust_PSNR: 26.3266, Adjust_LPIPS: 0.1236, Adjust_SSIM: 0.8507, PSNR: 22.6051, LPIPS: 0.1288, SSIM: 0.8365
44300_G.pthheat: 0.0000, Adjust_PSNR: 26.3859, Adjust_LPIPS: 0.1249, Adjust_SSIM: 0.8466, PSNR: 22.9657, LPIPS: 0.1302, SSIM: 0.8313
44400_G.pthheat: 0.0000, Adjust_PSNR: 26.5582, Adjust_LPIPS: 0.1250, Adjust_SSIM: 0.8475, PSNR: 23.4924, LPIPS: 0.1287, SSIM: 0.8354
44500_G.pthheat: 0.0000, Adjust_PSNR: 26.3792, Adjust_LPIPS: 0.1240, Adjust_SSIM: 0.8515, PSNR: 23.0504, LPIPS: 0.1296, SSIM: 0.8364
44600_G.pthheat: 0.0000, Adjust_PSNR: 26.1286, Adjust_LPIPS: 0.1305, Adjust_SSIM: 0.8467, PSNR: 23.4607, LPIPS: 0.1327, SSIM: 0.8352
44700_G.pthheat: 0.0000, Adjust_PSNR: 26.6448, Adjust_LPIPS: 0.1147, Adjust_SSIM: 0.8552, PSNR: 23.1262, LPIPS: 0.1217, SSIM: 0.8386
44800_G.pthheat: 0.0000, Adjust_PSNR: 26.4140, Adjust_LPIPS: 0.1267, Adjust_SSIM: 0.8501, PSNR: 23.3426, LPIPS: 0.1301, SSIM: 0.8374
44900_G.pthheat: 0.0000, Adjust_PSNR: 26.3793, Adjust_LPIPS: 0.1286, Adjust_SSIM: 0.8499, PSNR: 23.3273, LPIPS: 0.1314, SSIM: 0.8372
45000_G.pthheat: 0.0000, Adjust_PSNR: 26.3219, Adjust_LPIPS: 0.1190, Adjust_SSIM: 0.8509, PSNR: 22.7803, LPIPS: 0.1275, SSIM: 0.8306
45100_G.pthheat: 0.0000, Adjust_PSNR: 26.3712, Adjust_LPIPS: 0.1227, Adjust_SSIM: 0.8491, PSNR: 23.3196, LPIPS: 0.1272, SSIM: 0.8336
45200_G.pthheat: 0.0000, Adjust_PSNR: 26.1913, Adjust_LPIPS: 0.1343, Adjust_SSIM: 0.8472, PSNR: 22.7496, LPIPS: 0.1389, SSIM: 0.8307
45300_G.pthheat: 0.0000, Adjust_PSNR: 26.2668, Adjust_LPIPS: 0.1296, Adjust_SSIM: 0.8470, PSNR: 22.6610, LPIPS: 0.1329, SSIM: 0.8315
45400_G.pthheat: 0.0000, Adjust_PSNR: 25.9406, Adjust_LPIPS: 0.1335, Adjust_SSIM: 0.8395, PSNR: 22.5916, LPIPS: 0.1370, SSIM: 0.8250
45500_G.pthheat: 0.0000, Adjust_PSNR: 26.1641, Adjust_LPIPS: 0.1290, Adjust_SSIM: 0.8465, PSNR: 22.8992, LPIPS: 0.1340, SSIM: 0.8300
45600_G.pthheat: 0.0000, Adjust_PSNR: 26.3270, Adjust_LPIPS: 0.1287, Adjust_SSIM: 0.8481, PSNR: 23.3426, LPIPS: 0.1334, SSIM: 0.8332
45700_G.pthheat: 0.0000, Adjust_PSNR: 26.1152, Adjust_LPIPS: 0.1331, Adjust_SSIM: 0.8412, PSNR: 23.4199, LPIPS: 0.1345, SSIM: 0.8298
45800_G.pthheat: 0.0000, Adjust_PSNR: 26.3764, Adjust_LPIPS: 0.1269, Adjust_SSIM: 0.8504, PSNR: 22.8719, LPIPS: 0.1326, SSIM: 0.8339
45900_G.pthheat: 0.0000, Adjust_PSNR: 26.0891, Adjust_LPIPS: 0.1307, Adjust_SSIM: 0.8435, PSNR: 23.0167, LPIPS: 0.1331, SSIM: 0.8301
46000_G.pthheat: 0.0000, Adjust_PSNR: 26.2540, Adjust_LPIPS: 0.1265, Adjust_SSIM: 0.8482, PSNR: 23.0573, LPIPS: 0.1296, SSIM: 0.8335
46100_G.pthheat: 0.0000, Adjust_PSNR: 26.4479, Adjust_LPIPS: 0.1268, Adjust_SSIM: 0.8490, PSNR: 22.8407, LPIPS: 0.1318, SSIM: 0.8329
