train_stage3_LOL PSNR: 27.7713, SSIM: 0.8807, 1_PSNR: 27.5788, 1_SSIM: 0.8801, LPIPS: 0.0836
train_stage3_LOL PSNR: 27.5815, SSIM: 0.8782, 1_PSNR: 27.3313, 1_SSIM: 0.8772, LPIPS: 0.0835
train_stage3_LOL PSNR: 27.2730, SSIM: 0.8757, 1_PSNR: 27.1003, 1_SSIM: 0.8752, LPIPS: 0.0885
train_stage3_LOL PSNR: 27.5015, SSIM: 0.8773, 1_PSNR: 27.2862, 1_SSIM: 0.8764, LPIPS: 0.0865
train_stage3_LOL PSNR: 27.6172, SSIM: 0.8790, 1_PSNR: 27.3454, 1_SSIM: 0.8778, LPIPS: 0.0814
train_stage3_LOL PSNR: 27.7015, SSIM: 0.8808, 1_PSNR: 27.4245, 1_SSIM: 0.8797, LPIPS: 0.0844
train_stage3_LOL PSNR: 27.3398, SSIM: 0.8752, 1_PSNR: 27.1339, 1_SSIM: 0.8747, LPIPS: 0.0857
train_stage3_LOL PSNR: 27.5634, SSIM: 0.8797, 1_PSNR: 27.3180, 1_SSIM: 0.8786, LPIPS: 0.0830
train_stage3_LOL PSNR: 27.8520, SSIM: 0.8790, 1_PSNR: 27.6109, 1_SSIM: 0.8782, LPIPS: 0.0804
train_stage3_LOL PSNR: 27.5739, SSIM: 0.8832, 1_PSNR: 27.2764, 1_SSIM: 0.8818, LPIPS: 0.0822
train_stage3_LOL PSNR: 27.7202, SSIM: 0.8794, 1_PSNR: 27.4676, 1_SSIM: 0.8781, LPIPS: 0.0843
train_stage3_LOL PSNR: 27.6555, SSIM: 0.8780, 1_PSNR: 27.3882, 1_SSIM: 0.8773, LPIPS: 0.0829
train_stage3_LOL PSNR: 27.0195, SSIM: 0.8746, 1_PSNR: 26.7837, 1_SSIM: 0.8739, LPIPS: 0.0899
train_stage3_LOL PSNR: 27.6603, SSIM: 0.8774, 1_PSNR: 27.3906, 1_SSIM: 0.8766, LPIPS: 0.0839
train_stage3_LOL PSNR: 27.3534, SSIM: 0.8804, 1_PSNR: 27.1350, 1_SSIM: 0.8795, LPIPS: 0.0868
train_stage3_LOL PSNR: 27.6292, SSIM: 0.8779, 1_PSNR: 27.3616, 1_SSIM: 0.8770, LPIPS: 0.0823
train_stage3_LOL PSNR: 27.4459, SSIM: 0.8839, 1_PSNR: 27.1837, 1_SSIM: 0.8824, LPIPS: 0.0819
train_stage3_LOL PSNR: 27.1371, SSIM: 0.8778, 1_PSNR: 26.9353, 1_SSIM: 0.8768, LPIPS: 0.0913
train_stage3_LOL PSNR: 27.7204, SSIM: 0.8814, 1_PSNR: 27.4623, 1_SSIM: 0.8804, LPIPS: 0.0825
train_stage3_LOL PSNR: 27.6489, SSIM: 0.8795, 1_PSNR: 27.4207, 1_SSIM: 0.8788, LPIPS: 0.0807
train_stage3_LOL PSNR: 27.7250, SSIM: 0.8785, 1_PSNR: 27.4459, 1_SSIM: 0.8776, LPIPS: 0.0843
train_stage3_LOL PSNR: 27.7510, SSIM: 0.8783, 1_PSNR: 27.5184, 1_SSIM: 0.8775, LPIPS: 0.0817
train_stage3_LOL PSNR: 27.5487, SSIM: 0.8772, 1_PSNR: 27.3241, 1_SSIM: 0.8767, LPIPS: 0.0830
train_stage3_LOL PSNR: 27.6503, SSIM: 0.8789, 1_PSNR: 27.3855, 1_SSIM: 0.8780, LPIPS: 0.0825
train_stage3_LOL PSNR: 27.7956, SSIM: 0.8795, 1_PSNR: 27.5513, 1_SSIM: 0.8787, LPIPS: 0.0831
train_stage3_LOL PSNR: 27.4269, SSIM: 0.8773, 1_PSNR: 27.2282, 1_SSIM: 0.8764, LPIPS: 0.0901
train_stage3_LOL PSNR: 28.0138, SSIM: 0.8792, 1_PSNR: 27.7573, 1_SSIM: 0.8786, LPIPS: 0.0748
train_stage3_LOL PSNR: 27.6594, SSIM: 0.8780, 1_PSNR: 27.4103, 1_SSIM: 0.8772, LPIPS: 0.0829
train_stage3_LOL PSNR: 27.7215, SSIM: 0.8794, 1_PSNR: 27.4700, 1_SSIM: 0.8784, LPIPS: 0.0833
train_stage3_LOL PSNR: 27.5798, SSIM: 0.8806, 1_PSNR: 27.3378, 1_SSIM: 0.8795, LPIPS: 0.0817
train_stage3_LOL PSNR: 27.8284, SSIM: 0.8799, 1_PSNR: 27.5602, 1_SSIM: 0.8789, LPIPS: 0.0822
train_stage3_LOL PSNR: 27.7397, SSIM: 0.8798, 1_PSNR: 27.5030, 1_SSIM: 0.8791, LPIPS: 0.0820
train_stage3_LOL PSNR: 27.6022, SSIM: 0.8782, 1_PSNR: 27.3719, 1_SSIM: 0.8775, LPIPS: 0.0841
train_stage3_LOL PSNR: 27.7829, SSIM: 0.8793, 1_PSNR: 27.5768, 1_SSIM: 0.8784, LPIPS: 0.0802
train_stage3_LOL PSNR: 27.9032, SSIM: 0.8801, 1_PSNR: 27.6570, 1_SSIM: 0.8792, LPIPS: 0.0796
train_stage3_LOL PSNR: 27.8958, SSIM: 0.8803, 1_PSNR: 27.6472, 1_SSIM: 0.8795, LPIPS: 0.0802
train_stage3_LOL PSNR: 27.6142, SSIM: 0.8795, 1_PSNR: 27.4076, 1_SSIM: 0.8785, LPIPS: 0.0820
train_stage3_LOL PSNR: 27.7014, SSIM: 0.8788, 1_PSNR: 27.4805, 1_SSIM: 0.8780, LPIPS: 0.0796
train_stage3_LOL PSNR: 27.7238, SSIM: 0.8791, 1_PSNR: 27.5180, 1_SSIM: 0.8784, LPIPS: 0.0796
train_stage3_LOL PSNR: 27.5142, SSIM: 0.8780, 1_PSNR: 27.3402, 1_SSIM: 0.8772, LPIPS: 0.0856
train_stage3_LOL PSNR: 27.5740, SSIM: 0.8794, 1_PSNR: 27.3484, 1_SSIM: 0.8784, LPIPS: 0.0827
train_stage3_LOL PSNR: 27.7763, SSIM: 0.8793, 1_PSNR: 27.5356, 1_SSIM: 0.8783, LPIPS: 0.0795
train_stage3_LOL PSNR: 27.8496, SSIM: 0.8803, 1_PSNR: 27.5953, 1_SSIM: 0.8794, LPIPS: 0.0803
train_stage3_LOL PSNR: 27.8179, SSIM: 0.8816, 1_PSNR: 27.5344, 1_SSIM: 0.8806, LPIPS: 0.0807
train_stage3_LOL PSNR: 27.6602, SSIM: 0.8791, 1_PSNR: 27.4203, 1_SSIM: 0.8784, LPIPS: 0.0827
train_stage3_LOL PSNR: 27.6641, SSIM: 0.8788, 1_PSNR: 27.4476, 1_SSIM: 0.8781, LPIPS: 0.0816
train_stage3_LOL PSNR: 27.7455, SSIM: 0.8795, 1_PSNR: 27.4830, 1_SSIM: 0.8785, LPIPS: 0.0817
train_stage3_LOL PSNR: 27.8743, SSIM: 0.8799, 1_PSNR: 27.6312, 1_SSIM: 0.8790, LPIPS: 0.0809
train_stage3_LOL PSNR: 27.7525, SSIM: 0.8794, 1_PSNR: 27.5097, 1_SSIM: 0.8784, LPIPS: 0.0805
train_stage3_LOL PSNR: 27.7107, SSIM: 0.8791, 1_PSNR: 27.4740, 1_SSIM: 0.8782, LPIPS: 0.0826
train_stage3_LOL PSNR: 27.7826, SSIM: 0.8803, 1_PSNR: 27.5349, 1_SSIM: 0.8791, LPIPS: 0.0813
train_stage3_LOL PSNR: 27.7063, SSIM: 0.8771, 1_PSNR: 27.4487, 1_SSIM: 0.8766, LPIPS: 0.0799
train_stage3_LOL PSNR: 27.8522, SSIM: 0.8803, 1_PSNR: 27.5977, 1_SSIM: 0.8793, LPIPS: 0.0804
train_stage3_LOL PSNR: 27.7020, SSIM: 0.8811, 1_PSNR: 27.4667, 1_SSIM: 0.8803, LPIPS: 0.0831
train_stage3_LOL PSNR: 27.8434, SSIM: 0.8808, 1_PSNR: 27.5913, 1_SSIM: 0.8799, LPIPS: 0.0809
train_stage3_LOL PSNR: 27.6907, SSIM: 0.8797, 1_PSNR: 27.4435, 1_SSIM: 0.8787, LPIPS: 0.0848
train_stage3_LOL PSNR: 27.6394, SSIM: 0.8776, 1_PSNR: 27.3654, 1_SSIM: 0.8769, LPIPS: 0.0803
train_stage3_LOL PSNR: 27.6100, SSIM: 0.8788, 1_PSNR: 27.3644, 1_SSIM: 0.8779, LPIPS: 0.0855
train_stage3_LOL PSNR: 27.8128, SSIM: 0.8799, 1_PSNR: 27.5607, 1_SSIM: 0.8790, LPIPS: 0.0801
train_stage3_LOL PSNR: 27.6479, SSIM: 0.8787, 1_PSNR: 27.4150, 1_SSIM: 0.8776, LPIPS: 0.0850
train_stage3_LOL PSNR: 27.7750, SSIM: 0.8822, 1_PSNR: 27.5011, 1_SSIM: 0.8811, LPIPS: 0.0796
train_stage3_LOL PSNR: 27.7330, SSIM: 0.8795, 1_PSNR: 27.4685, 1_SSIM: 0.8787, LPIPS: 0.0803
train_stage3_LOL PSNR: 27.6151, SSIM: 0.8794, 1_PSNR: 27.4008, 1_SSIM: 0.8787, LPIPS: 0.0845
train_stage3_LOL PSNR: 27.7967, SSIM: 0.8795, 1_PSNR: 27.5512, 1_SSIM: 0.8787, LPIPS: 0.0807
train_stage3_LOL PSNR: 27.7997, SSIM: 0.8787, 1_PSNR: 27.5426, 1_SSIM: 0.8779, LPIPS: 0.0796
train_stage3_LOL PSNR: 27.6581, SSIM: 0.8783, 1_PSNR: 27.4211, 1_SSIM: 0.8775, LPIPS: 0.0815
train_stage3_LOL PSNR: 27.7595, SSIM: 0.8799, 1_PSNR: 27.5355, 1_SSIM: 0.8790, LPIPS: 0.0850
train_stage3_LOL PSNR: 27.6541, SSIM: 0.8781, 1_PSNR: 27.3991, 1_SSIM: 0.8773, LPIPS: 0.0830
train_stage3_LOL PSNR: 27.7146, SSIM: 0.8819, 1_PSNR: 27.4453, 1_SSIM: 0.8808, LPIPS: 0.0821
train_stage3_LOL PSNR: 27.8680, SSIM: 0.8802, 1_PSNR: 27.6014, 1_SSIM: 0.8793, LPIPS: 0.0799
train_stage3_LOL PSNR: 27.6934, SSIM: 0.8786, 1_PSNR: 27.4299, 1_SSIM: 0.8776, LPIPS: 0.0839
train_stage3_LOL PSNR: 27.7904, SSIM: 0.8799, 1_PSNR: 27.5181, 1_SSIM: 0.8790, LPIPS: 0.0818
train_stage3_LOL PSNR: 27.3594, SSIM: 0.8779, 1_PSNR: 27.1668, 1_SSIM: 0.8771, LPIPS: 0.0871
train_stage3_LOL PSNR: 27.8674, SSIM: 0.8805, 1_PSNR: 27.6018, 1_SSIM: 0.8795, LPIPS: 0.0788
train_stage3_LOL PSNR: 27.6213, SSIM: 0.8789, 1_PSNR: 27.3799, 1_SSIM: 0.8781, LPIPS: 0.0811
train_stage3_LOL PSNR: 27.5348, SSIM: 0.8778, 1_PSNR: 27.2720, 1_SSIM: 0.8769, LPIPS: 0.0860
train_stage3_LOL PSNR: 27.6737, SSIM: 0.8787, 1_PSNR: 27.4352, 1_SSIM: 0.8778, LPIPS: 0.0814
train_stage3_LOL PSNR: 27.5240, SSIM: 0.8776, 1_PSNR: 27.2915, 1_SSIM: 0.8770, LPIPS: 0.0827
train_stage3_LOL PSNR: 27.6760, SSIM: 0.8794, 1_PSNR: 27.4238, 1_SSIM: 0.8786, LPIPS: 0.0812
train_stage3_LOL PSNR: 27.6802, SSIM: 0.8798, 1_PSNR: 27.4197, 1_SSIM: 0.8789, LPIPS: 0.0823
train_stage3_LOL PSNR: 27.5277, SSIM: 0.8789, 1_PSNR: 27.3308, 1_SSIM: 0.8781, LPIPS: 0.0864
train_stage3_LOL PSNR: 27.7417, SSIM: 0.8811, 1_PSNR: 27.5109, 1_SSIM: 0.8802, LPIPS: 0.0787
train_stage3_LOL PSNR: 27.8072, SSIM: 0.8793, 1_PSNR: 27.5477, 1_SSIM: 0.8784, LPIPS: 0.0791
train_stage3_LOL PSNR: 27.7526, SSIM: 0.8790, 1_PSNR: 27.5080, 1_SSIM: 0.8780, LPIPS: 0.0820
train_stage3_LOL PSNR: 27.8656, SSIM: 0.8804, 1_PSNR: 27.5917, 1_SSIM: 0.8797, LPIPS: 0.0783
train_stage3_LOL PSNR: 27.8327, SSIM: 0.8806, 1_PSNR: 27.5649, 1_SSIM: 0.8797, LPIPS: 0.0803
train_stage3_LOL PSNR: 27.7343, SSIM: 0.8794, 1_PSNR: 27.4660, 1_SSIM: 0.8786, LPIPS: 0.0810
